demographic,earnings,order_earnings,change_earnings,earnings_hs,order_earnings_hs,change_earnings_hs,earnings_ba,order_earnings_ba,change_earnings_ba,earnings_aa,order_earnings_aa,change_earnings_aa,earnings_justice,order_earnings_justice,change_earnings_justice,earnings_race,order_earnings_race,change_earnings_race,earnings_comm,order_earnings_comm,change_earnings_comm,earnings_job_quality,order_earnings_job_quality,change_earnings_job_quality,earnings_job_training,order_earnings_job_training,change_earnings_job_training
White women+,5,13,0,5,14,0,5,13,0,5,12,0,5,13,0,5,13,0,5,13,0,5,13,0,5,13,0
White men+,9,7,0,13,3,1,9,7,0,9,7,0,9,7,0,9,7,0,9,7,0,9,7,1,9,8,1
White women+,4,11,0,4,12,0,4,11,0,4,11,0,4,11,0,4,11,0,4,10,1,4,9,1,4,10,1
White men+,5,10,0,5,10,0,5,10,0,5,10,0,5,10,0,5,10,0,5,7,0,5,12,0,5,8,0
White women+,6,7,0,6,9,0,6,7,0,6,8,0,6,7,0,6,7,0,6,8,0,6,6,1,6,8,1
Black women,7,2,0,7,2,0,7,2,0,7,3,0,7,2,0,8,2,1,7,2,0,7,2,0,8,1,1
White men+,5,11,0,5,11,0,5,11,0,5,11,0,5,11,0,5,11,0,5,8,0,6,8,1,5,9,1
White women+,5,14,0,5,15,0,5,14,0,5,13,0,5,14,0,5,14,0,5,14,0,5,14,0,5,14,0
White women+,4,12,0,4,13,0,4,12,0,4,12,0,4,12,0,4,12,0,4,11,1,4,10,1,4,11,1
White men+,15,6,0,15,6,0,15,6,0,15,6,0,15,6,0,15,6,0,15,6,1,15,6,0,15,5,0
White men+,5,12,0,5,12,0,5,12,0,5,12,0,5,12,0,5,12,0,5,9,1,5,13,0,5,10,-1
Black women,4,4,0,4,5,0,4,4,0,4,3,0,4,4,0,3,2,-1,4,5,1,4,5,1,4,5,1
White women+,2,8,0,2,6,0,2,8,0,2,8,0,2,8,0,2,8,0,2,8,1,2,8,1,2,8,1
Black men,5,3,0,9,1,1,5,3,0,5,4,0,5,3,1,8,5,1,6,2,1,5,2,0,5,3,0
Black men,3,10,0,3,8,0,3,10,0,3,8,0,3,9,1,7,4,1,3,8,1,3,10,0,3,11,0
White women+,2,9,0,2,7,0,2,9,0,2,9,0,2,9,0,2,9,0,6,9,1,2,9,0,2,9,0
White men+,10,4,0,10,4,0,10,4,0,10,4,0,10,4,0,10,4,0,10,4,0,10,6,0,10,4,0
White men+,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,3,6,1,3,5,1,2,1,1
White women+,2,10,0,2,8,0,2,10,0,2,10,0,2,10,0,2,10,0,2,9,1,2,10,0,2,10,0
White men+,6,11,0,6,11,0,6,11,0,6,11,0,6,11,0,6,11,0,6,14,0,6,9,0,6,11,1
White women+,3,6,0,3,4,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,1,3,6,1,3,6,1
White women+,4,13,0,4,14,0,4,13,0,4,13,0,4,13,0,4,13,0,4,12,0,4,11,1,4,12,1
Black men,7,2,0,7,2,0,7,2,0,7,4,0,7,2,1,12,1,1,7,3,0,7,2,1,7,2,1
Black men,5,4,0,5,4,0,5,4,0,5,5,0,5,4,1,11,3,1,5,5,0,6,2,1,5,4,1
White women+,7,7,0,7,7,0,7,7,0,7,7,0,7,7,0,7,7,0,7,6,0,7,7,0,7,6,0
White women+,7,8,0,7,8,0,7,8,0,7,8,0,7,8,0,7,8,0,7,7,0,7,8,1,7,7,1
White women+,5,15,0,5,16,0,5,15,0,6,9,1,5,15,0,5,15,0,5,15,0,5,15,0,5,15,0
White women+,2,11,0,2,9,0,2,11,0,2,11,0,2,11,0,2,11,0,2,10,1,2,11,1,2,11,1
White women+,10,5,0,10,5,0,10,5,0,10,5,0,10,5,0,10,5,0,10,5,0,10,6,0,10,5,0
White women+,6,8,0,6,10,0,6,8,0,6,10,0,6,8,0,6,8,0,6,10,0,6,7,0,6,9,0
White men+,6,12,0,6,12,0,6,12,0,6,12,0,6,12,0,6,12,0,6,15,0,7,13,1,6,12,1
White men+,9,8,0,9,7,0,9,8,0,9,8,0,9,8,0,9,8,0,9,8,0,9,8,0,9,9,1
White women+,16,2,0,16,2,0,16,2,0,16,2,0,16,2,0,16,2,0,16,2,0,16,2,0,16,2,0
White women+,6,9,0,6,11,0,6,9,0,6,11,0,6,9,0,6,9,0,6,11,0,6,8,0,6,10,0
White men+,10,5,0,10,5,0,10,5,0,10,5,0,10,5,0,10,5,0,10,5,1,10,7,0,10,5,0
White men+,11,4,0,11,5,0,11,3,0,11,4,0,11,4,0,11,4,0,11,6,1,11,4,0,11,4,1
White women+,3,7,0,3,5,0,3,7,0,3,7,0,3,7,0,3,7,0,3,7,1,3,7,0,3,7,1
White women+,4,14,0,4,15,0,4,14,0,7,9,1,4,14,0,4,14,0,4,13,0,5,16,1,4,13,1
White women+,2,12,0,2,10,0,2,12,0,2,12,0,2,12,0,2,12,0,2,11,1,2,12,0,2,12,0
Hispanic women,4,3,0,4,3,1,4,3,1,4,3,1,4,3,1,3,4,-1,7,3,1,4,2,1,4,3,1
Hispanic men,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
White men+,7,11,0,7,11,0,7,11,0,8,9,1,7,11,0,7,11,0,7,10,1,7,14,0,8,9,1
White men+,5,13,0,5,13,0,5,13,0,5,13,0,5,13,0,5,13,0,6,16,1,6,10,1,5,11,1
Hispanic men,6,2,0,6,2,0,6,2,0,6,2,0,6,2,0,7,4,1,6,2,1,6,1,1,6,2,1
White women+,8,6,0,8,6,0,8,6,0,8,6,0,8,6,0,8,6,0,8,6,0,8,8,0,8,6,0
White men+,8,9,0,8,10,0,8,9,0,8,10,0,8,9,0,8,9,0,8,10,0,9,9,1,8,10,1
White men+,6,13,0,6,13,0,6,13,0,6,13,0,6,13,0,6,13,0,6,17,1,7,15,1,6,13,1
White men+,8,10,0,8,11,0,8,10,0,8,11,0,8,10,0,8,10,0,8,11,0,8,10,0,8,11,0
White men+,15,7,0,15,7,0,17,1,1,15,7,0,15,7,0,15,7,0,15,7,1,15,7,0,15,6,1
Black men,3,11,0,3,9,0,3,11,0,3,9,0,3,10,1,7,5,1,5,6,1,3,11,1,3,12,1
White women+,5,16,0,5,17,0,5,16,0,6,12,1,5,16,0,5,16,0,5,16,0,5,17,1,5,16,1
White women+,13,3,0,13,3,0,13,3,0,13,3,0,13,3,0,13,3,0,13,3,0,13,3,0,13,3,0
White men+,19,1,0,19,1,0,19,1,0,19,1,0,19,1,0,19,1,0,19,1,0,19,1,0,19,1,0
White women+,5,17,0,5,18,0,5,17,0,5,14,0,5,17,0,5,17,0,5,17,0,5,18,1,5,17,1
White women+,3,8,0,3,6,0,3,8,0,3,8,0,3,8,0,3,8,0,3,8,0,4,12,1,4,14,1
White men+,11,5,0,11,6,0,11,4,0,11,5,0,11,5,0,11,5,0,12,4,1,11,5,0,12,3,1
White women+,11,3,0,11,3,0,11,3,0,11,3,0,11,3,0,11,3,0,11,4,0,11,3,0,11,5,0
Hispanic men,5,1,0,5,1,0,5,1,0,5,1,0,5,1,0,9,1,1,5,1,0,5,1,0,5,1,0
White women+,7,9,0,7,9,0,7,9,0,7,10,0,7,9,0,7,9,0,7,8,0,7,9,0,7,8,0
White women+,7,10,0,7,10,0,7,10,0,7,11,0,7,10,0,7,10,0,7,9,0,8,9,1,7,9,1
White men+,2,3,0,2,3,0,2,3,0,2,3,0,2,3,0,2,3,0,2,2,1,2,2,1,2,2,1
White women+,9,8,0,9,8,0,9,8,0,9,8,0,9,8,0,9,8,0,9,8,1,9,8,0,9,7,1
White men+,9,9,0,9,8,0,9,9,0,9,9,0,9,9,0,9,9,0,9,9,0,9,10,0,9,10,0
White women+,11,4,0,11,4,0,11,4,0,11,4,0,11,4,0,11,4,0,11,5,0,11,4,0,11,6,1
White women+,6,10,0,6,12,0,6,10,0,6,13,0,6,10,0,6,10,0,6,12,0,6,9,0,6,11,0
White men+,12,4,0,12,4,0,12,4,0,12,4,0,12,4,0,12,4,0,12,5,0,12,4,0,12,4,0
White men+,21,6,0,21,6,0,21,6,0,21,6,0,21,6,0,21,6,0,21,6,0,21,6,0,21,6,0
White women+,11,5,0,11,5,0,11,5,0,11,5,0,11,5,0,11,5,0,11,6,0,11,5,0,11,7,0
White women+,2,13,0,2,11,0,2,13,0,2,13,0,2,13,0,2,13,0,2,12,1,2,13,1,2,13,1
White women+,15,2,0,15,2,0,15,2,0,15,2,0,15,2,0,15,2,0,15,2,0,15,2,0,16,3,1
White men+,13,3,0,13,4,0,13,3,0,13,3,0,13,3,0,13,3,0,13,3,0,13,3,0,13,5,0
Black men,7,3,0,7,3,0,7,3,0,7,5,0,7,3,1,10,2,1,7,4,1,7,3,0,7,3,1
White men+,12,5,0,12,5,1,12,5,1,12,5,1,12,5,1,12,5,1,12,6,1,12,5,1,13,6,1
White women+,6,11,0,6,13,0,6,11,0,6,14,0,6,11,0,6,11,0,6,13,1,6,10,1,6,12,1
White women+,6,12,0,6,14,0,6,12,0,6,15,0,6,12,0,6,12,0,6,14,0,6,11,0,6,13,0
White men+,7,12,0,7,12,0,7,12,0,7,11,0,7,12,0,7,12,0,7,11,0,8,11,1,7,11,1
White men+,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,6,0,3,7,1,3,6,0,4,8,1
White women+,11,6,0,11,6,0,11,6,0,11,6,0,11,6,0,11,6,0,11,7,1,11,6,0,11,8,0
White men+,10,6,0,10,6,0,12,6,1,10,6,0,10,6,0,10,6,0,10,6,1,10,8,0,10,6,1
White men+,7,13,0,7,13,0,7,13,0,7,12,0,7,13,0,7,13,0,7,12,0,7,16,0,7,12,0
White men+,6,14,0,6,14,1,6,14,1,6,14,1,6,14,1,6,14,1,7,13,1,6,11,1,7,13,1
White men+,6,15,0,6,15,1,6,15,1,6,15,1,6,15,1,6,15,1,7,14,1,6,12,1,7,14,1
White women+,14,3,0,14,3,0,14,3,0,14,3,0,14,3,0,14,3,0,14,3,0,14,3,0,14,3,0
White women+,8,7,0,8,7,0,8,7,0,8,7,0,8,7,0,8,7,0,8,7,0,8,10,0,8,7,0
Black women,4,5,0,4,6,0,4,5,0,4,4,0,4,5,0,6,4,1,4,6,0,4,6,1,4,6,1
White men+,10,7,0,10,7,0,10,6,0,10,7,0,10,7,0,10,7,0,10,7,0,10,9,0,10,7,0
Black men,6,1,0,6,1,0,6,1,0,6,2,0,6,1,1,10,3,1,6,3,0,6,3,0,6,1,0
White men+,4,7,0,4,5,0,4,7,0,4,7,0,4,7,0,4,7,0,4,5,0,4,4,1,4,9,1
Black women,3,2,0,3,2,0,3,2,0,3,2,1,3,2,0,4,5,1,3,1,1,3,2,1,3,1,1
White women+,6,13,0,6,15,0,6,13,0,6,16,0,6,13,0,6,13,0,6,15,0,6,12,0,7,10,1
White women+,4,15,0,4,16,0,4,15,0,6,17,1,4,15,0,4,15,0,4,14,0,4,13,0,4,15,1
White women+,4,16,0,4,17,0,4,16,0,4,14,0,4,16,0,4,16,0,4,15,1,4,14,0,4,16,0
White men+,12,6,0,12,6,0,12,7,0,12,6,0,12,6,0,12,6,0,12,7,1,12,6,0,12,5,0
White men+,5,14,0,5,14,0,5,14,0,5,14,0,5,14,0,5,14,0,6,18,1,6,13,1,5,12,1
White men+,6,16,0,6,16,0,6,16,0,6,16,0,6,16,0,6,16,0,6,19,1,6,14,1,6,14,1
White men+,20,1,0,20,1,1,20,1,1,20,1,1,20,1,1,20,1,1,20,1,1,20,1,1,20,1,1
White women+,6,14,0,6,16,0,6,14,0,6,18,0,6,14,0,6,14,0,6,16,1,6,13,1,6,14,1
Black women,2,7,0,2,6,0,2,7,0,2,7,0,2,7,0,2,6,1,2,6,1,2,6,0,2,7,0
White men+,6,17,0,6,17,0,6,17,0,6,17,0,6,17,0,6,17,0,6,20,1,6,15,0,6,15,1
White women+,3,9,0,3,7,0,3,9,0,3,9,0,3,9,0,3,9,0,3,9,0,4,15,1,3,8,1
White men+,10,8,0,10,8,0,10,7,0,10,8,0,10,8,0,10,8,0,10,8,0,10,10,0,11,5,1
White men+,21,7,0,21,7,0,21,7,0,21,7,0,21,7,0,21,7,0,21,7,0,21,7,0,21,7,0
White women+,2,14,0,2,12,0,2,14,0,2,14,0,2,14,0,2,14,0,2,13,0,2,14,0,2,14,0
White men+,6,18,0,6,18,0,6,18,0,6,18,0,6,18,0,6,18,0,6,21,0,7,17,1,7,15,1
White women+,6,15,0,6,17,0,6,15,0,6,19,0,6,15,0,6,15,0,6,17,1,7,10,1,6,15,1
White men+,6,19,0,6,19,0,6,19,0,6,19,0,6,19,0,6,19,0,6,22,1,6,16,0,6,16,1
White men+,10,9,0,10,9,0,10,8,0,10,9,0,10,9,0,10,9,0,10,9,0,10,11,0,10,8,0
White men+,15,8,0,15,8,0,15,7,0,15,8,0,15,8,0,15,8,0,15,8,1,15,8,0,15,7,1
White women+,3,10,0,3,8,0,3,10,0,3,10,0,3,10,0,3,10,0,3,10,0,3,8,0,3,9,0
White men+,10,10,0,10,10,0,10,9,0,10,10,0,10,10,0,10,10,0,10,10,0,11,6,1,10,9,1
White men+,9,10,0,9,9,0,9,10,0,9,10,0,9,10,0,9,10,0,9,10,0,9,11,0,9,11,0
White men+,7,14,0,7,14,0,7,14,0,7,13,0,7,14,0,7,14,0,8,12,1,8,12,1,7,16,1
White men+,6,20,0,6,20,0,6,20,0,6,20,0,6,20,0,6,20,0,6,23,0,7,18,1,6,17,1
White men+,8,11,0,8,12,0,8,11,0,8,12,0,8,11,0,8,11,0,8,13,0,8,13,0,8,12,0
White men+,14,6,0,14,6,1,14,6,1,14,6,1,14,6,1,14,6,1,14,6,1,14,6,1,15,8,1
White men+,10,11,0,10,11,1,10,10,1,10,11,1,10,11,1,10,11,1,10,11,1,10,12,1,12,6,1
White men+,4,8,0,4,6,0,4,8,0,4,8,0,4,8,0,4,8,0,4,6,0,4,5,0,4,10,1
White men+,9,11,0,9,10,0,9,11,0,9,11,0,9,11,0,9,11,0,9,11,0,9,12,0,9,12,0
White men+,8,12,0,8,13,0,8,12,0,8,13,0,8,12,0,8,12,0,8,14,0,9,13,1,9,13,1
White men+,15,9,0,15,9,0,15,8,0,15,9,0,15,9,0,15,9,0,15,9,0,15,9,0,15,9,0
White women+,2,15,0,2,13,0,2,15,0,2,15,0,2,15,0,2,15,0,2,14,0,2,15,0,2,15,0
White women+,11,7,0,11,7,0,11,7,0,11,7,0,11,7,0,11,7,0,11,8,0,11,7,1,11,9,1
White men+,4,9,0,7,15,1,4,9,0,4,9,0,4,9,0,4,9,0,4,7,0,4,6,0,5,13,1
White women+,5,18,0,5,19,0,5,18,0,5,15,0,5,18,0,5,18,0,5,18,1,5,19,0,5,18,1
White men+,18,2,0,18,2,1,18,2,1,18,2,1,18,2,1,18,2,1,18,2,1,18,2,1,18,2,1
White men+,11,6,0,11,7,0,11,5,0,11,6,0,11,6,0,11,6,0,11,7,0,11,7,0,11,6,0
White men+,4,10,0,4,7,0,4,10,0,4,10,0,4,10,0,4,10,0,4,8,0,5,14,1,4,11,1
White men+,3,7,0,3,7,0,3,7,0,3,7,0,3,7,0,3,7,0,3,8,1,3,7,0,3,6,0
White men+,3,8,0,4,8,1,3,8,0,3,8,0,3,8,0,3,8,0,3,9,1,3,8,0,3,7,0
White women+,2,16,0,2,14,0,2,16,0,2,16,0,2,16,0,2,16,0,2,15,0,2,16,0,2,16,0
White men+,15,10,0,15,10,0,15,9,0,15,10,0,15,10,0,15,10,0,15,10,0,15,10,0,15,10,0
White women+,9,9,0,9,9,0,9,9,0,9,9,0,9,9,0,9,9,0,9,9,1,9,9,0,9,8,0
White women+,2,17,0,7,11,1,2,17,0,2,17,0,2,17,0,2,17,0,2,16,1,2,17,1,2,17,1
White women+,9,10,0,9,10,0,9,10,0,9,10,0,9,10,0,9,10,0,9,10,0,10,7,1,10,6,1
White men+,8,13,0,8,14,0,8,13,0,8,14,0,8,13,0,8,13,0,8,15,0,8,14,1,8,13,1
White women+,10,6,0,10,6,0,10,6,0,10,6,0,10,6,0,10,6,0,10,6,1,11,8,1,10,7,1
White women+,5,19,0,5,20,0,5,19,0,5,16,0,5,19,0,5,19,0,5,19,0,5,20,0,5,19,0
White women+,9,11,0,9,11,0,9,11,0,9,11,0,9,11,0,9,11,0,9,11,0,9,10,0,9,9,0
Hispanic men,8,4,0,8,4,0,8,4,0,8,4,0,8,4,0,9,2,1,8,4,1,8,3,0,8,4,1
Black women,6,4,0,6,4,0,6,3,0,6,3,0,6,4,0,7,2,1,6,5,1,6,4,1,6,4,0
Hispanic women,3,9,0,3,9,1,3,9,1,3,7,1,3,9,1,4,9,1,3,7,1,3,11,1,3,9,1
Hispanic women,5,2,0,5,2,0,5,2,0,5,3,0,5,2,0,6,3,1,5,2,1,5,3,1,5,3,1
Black men,3,12,0,3,10,0,3,12,0,3,10,0,3,11,1,8,6,1,3,9,0,3,12,0,3,13,1
Black men,2,3,0,2,3,0,2,3,0,2,2,0,2,2,1,5,2,1,2,1,1,2,3,1,2,2,1
Black men,4,2,0,4,2,0,4,2,0,4,1,0,4,3,1,7,6,1,4,1,1,4,3,0,4,2,0
Black women,4,6,0,4,7,0,4,6,0,4,5,0,4,6,0,5,3,1,4,7,1,4,7,1,4,7,1
Hispanic women,4,4,0,4,4,0,4,4,0,4,4,0,4,4,0,7,3,1,4,5,1,4,3,1,4,4,1
White men+,17,1,0,17,1,0,17,2,0,17,1,0,17,1,0,17,1,0,17,1,0,17,1,0,17,1,0
White women+,3,11,0,3,9,0,3,11,0,3,11,0,3,11,0,3,11,0,3,11,1,3,9,0,3,10,0
Black women,5,4,0,5,4,0,5,4,0,5,5,0,5,4,0,6,5,1,5,3,1,5,4,0,5,4,1
Hispanic men,6,3,0,6,3,0,6,3,0,6,3,0,6,3,0,10,3,1,6,3,0,6,2,0,7,1,1
Hispanic women,3,10,0,3,10,0,3,10,0,3,8,0,3,10,0,2,2,-1,3,8,-1,3,12,1,3,10,1
Hispanic men,19,1,0,19,1,0,19,1,0,19,1,0,19,1,0,21,2,1,19,1,0,19,1,0,20,1,1
White men+,8,14,0,8,15,0,8,14,0,8,15,0,8,14,0,8,14,0,8,16,0,8,15,0,8,14,0
Hispanic men,10,2,0,15,2,1,10,2,0,10,2,0,10,2,0,16,2,1,10,1,0,10,2,0,11,2,1
Hispanic men,7,1,0,7,1,0,7,1,0,7,1,0,7,1,0,9,3,1,7,1,0,7,2,0,7,2,1
White women+,7,11,0,7,12,0,11,8,1,7,12,0,7,11,0,7,11,0,7,10,1,7,11,0,7,11,0
Black women,5,5,0,5,5,0,5,5,0,5,6,0,5,5,0,4,6,-1,5,4,1,5,5,0,5,5,0
Black women,3,3,0,3,3,0,3,3,0,3,3,0,3,3,0,3,3,1,3,2,0,3,3,0,3,2,0
Black women,4,7,0,4,8,0,4,7,0,4,6,0,4,7,0,4,7,-1,4,8,0,4,8,0,4,8,0
White women+,5,20,0,5,21,0,5,20,0,5,17,0,5,20,0,5,20,0,5,20,0,6,14,1,5,20,1
White women+,7,12,0,7,13,0,7,11,0,7,13,0,7,12,0,7,12,0,7,11,0,7,12,0,7,12,0
Hispanic women,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,2,3,1,1,2,0,1,2,0,1,2,0
Hispanic men,7,2,0,7,2,0,7,2,0,7,2,0,7,2,0,9,4,1,7,2,0,7,3,0,7,3,1
White women+,6,16,0,6,18,0,6,16,0,6,20,0,6,16,0,6,16,0,6,18,0,7,13,1,6,16,1
White women+,9,12,0,9,12,0,9,12,0,9,12,0,9,12,0,9,12,0,9,12,0,9,11,0,9,10,0
White men+,9,12,0,9,11,0,9,12,0,9,12,0,9,12,0,9,12,0,9,12,0,9,14,1,9,14,1
White men+,21,8,0,21,8,0,21,8,0,21,8,0,21,8,0,21,8,0,21,8,0,21,8,0,21,8,0
Hispanic women,5,3,0,5,3,0,5,3,0,5,4,0,5,3,0,9,2,1,6,6,1,6,7,1,6,7,1
White women+,6,17,0,6,19,0,6,17,0,6,21,0,6,17,0,6,17,0,6,19,0,6,15,0,6,17,1
White women+,5,21,0,5,22,0,5,21,0,5,18,0,5,21,0,5,21,0,5,21,0,5,21,0,5,21,0
White women+,7,13,0,7,14,0,7,12,0,7,14,0,7,13,0,7,13,0,7,12,0,7,14,1,7,13,1
White men+,17,2,0,17,2,0,17,3,0,17,2,0,17,2,0,17,2,0,17,2,0,17,2,0,17,2,0
White women+,2,18,0,2,15,0,2,18,0,2,18,0,2,18,0,2,18,0,2,17,1,2,18,1,2,18,1
White women+,6,18,0,6,20,0,6,18,0,6,22,0,6,18,0,6,18,0,6,20,0,6,16,0,6,18,0
White men+,9,13,0,9,12,0,9,13,0,9,13,0,9,13,0,9,13,0,9,13,0,9,15,0,10,10,1
White men+,5,15,0,5,15,0,5,15,0,5,15,0,5,15,0,5,15,0,5,10,0,6,17,1,6,18,1
White women+,2,19,0,2,16,0,2,19,0,2,19,0,2,19,0,2,19,0,2,18,1,2,19,1,2,19,1
White men+,6,21,0,6,21,0,6,21,0,6,21,0,6,21,0,6,21,0,6,24,1,6,18,0,6,19,0
White women+,6,19,0,6,21,0,6,19,0,6,23,0,6,19,0,6,19,0,7,13,1,7,15,1,7,14,1
White men+,7,15,0,7,16,0,7,15,0,7,14,0,7,15,0,7,15,0,7,15,0,7,19,0,7,17,0
White men+,6,22,0,8,16,1,6,22,0,6,22,0,6,22,0,6,22,0,6,25,0,6,19,0,6,20,1
White women+,8,8,0,8,8,0,8,8,0,8,8,0,8,8,0,8,8,0,8,8,0,8,11,1,8,8,1
Black women,2,8,0,2,7,0,2,8,0,2,8,0,2,8,0,2,7,1,2,7,1,2,7,0,2,8,0
White men+,15,11,0,15,11,0,15,10,0,15,11,0,15,11,0,15,11,0,15,11,0,15,11,0,15,11,0
White men+,7,16,0,7,17,0,7,16,0,7,15,0,7,16,0,7,16,0,10,12,1,7,20,0,7,18,1
White men+,20,2,0,20,2,0,20,2,0,20,2,0,20,2,0,20,2,0,20,2,0,20,2,0,20,2,0
White women+,4,17,0,4,18,0,4,17,0,4,15,0,4,17,0,4,17,0,4,16,0,4,16,1,4,17,1
White men+,5,16,0,5,16,0,5,16,0,5,16,0,5,16,0,5,16,0,5,11,0,5,15,0,6,21,1
Hispanic men,7,3,0,7,3,0,7,3,0,7,3,0,7,3,0,9,5,1,7,3,1,8,4,1,7,4,1
White women+,11,8,0,11,8,0,11,9,0,11,8,0,11,8,0,11,8,0,11,9,1,11,9,0,11,10,0
White women+,4,18,0,4,19,0,4,18,0,4,16,0,4,18,0,4,18,0,4,17,0,4,17,0,4,18,0
Black men,14,1,0,14,1,0,14,1,0,14,1,0,14,1,1,18,1,1,14,1,1,14,1,0,14,1,0
White women+,9,13,0,9,13,0,9,13,0,9,13,0,9,13,0,9,13,0,9,13,0,9,12,0,9,11,1
White women+,4,19,0,4,20,0,4,19,0,4,17,0,4,19,0,4,19,0,4,18,1,4,18,1,4,19,1
White men+,5,17,0,5,17,0,5,17,0,5,17,0,5,17,0,5,17,0,5,12,1,5,16,0,5,14,1
White men+,5,18,0,5,18,0,5,18,0,5,18,0,5,18,0,5,18,0,5,13,0,6,20,1,6,22,1
White women+,6,20,0,6,22,0,6,20,0,6,24,0,6,20,0,6,20,0,6,21,0,6,17,0,6,19,0
White men+,17,3,0,17,3,0,17,4,0,17,3,0,17,3,0,17,3,0,17,3,0,17,3,0,18,3,1
White women+,3,12,0,3,10,0,3,12,0,3,12,0,3,12,0,3,12,0,3,12,1,4,19,1,3,11,1
White women+,9,14,0,9,14,0,9,14,0,9,14,0,9,14,0,9,14,0,9,14,1,9,13,0,10,8,1
White women+,6,21,0,6,23,0,6,21,0,6,25,0,6,21,0,6,21,0,6,22,1,6,18,0,6,20,1
White men+,10,12,0,10,12,0,10,11,0,10,12,0,10,12,0,10,12,0,10,13,0,10,13,0,10,11,0
White men+,7,17,0,7,18,0,7,17,0,7,16,0,7,17,0,7,17,0,7,16,0,7,21,0,7,19,1
White women+,5,22,0,5,23,0,5,22,0,5,19,0,5,22,0,5,22,0,5,22,0,5,22,0,5,22,0
White women+,4,20,0,4,21,0,8,9,1,4,18,0,4,20,0,4,20,0,4,19,1,5,23,1,4,20,1
White women+,4,21,0,4,22,0,4,20,0,4,19,0,4,21,0,4,21,0,9,15,1,5,24,1,5,23,1
White men+,4,11,0,8,17,1,4,11,0,4,11,0,4,11,0,4,11,0,4,9,1,5,17,1,5,15,1
White women+,3,13,0,3,11,0,3,13,0,3,13,0,3,13,0,3,13,0,3,13,0,4,20,1,3,12,1
White women+,16,3,0,16,3,0,16,3,0,16,3,0,16,3,0,16,3,0,16,3,1,16,3,0,16,4,0
Hispanic women,7,2,0,7,2,1,7,2,1,7,3,1,7,2,1,10,3,1,8,2,1,8,2,1,7,2,1
White men+,12,7,0,12,7,0,12,8,0,12,7,0,12,7,0,12,7,0,12,8,0,12,7,0,13,7,1
White women+,5,23,0,5,24,0,5,23,0,5,20,0,5,23,0,5,23,0,5,23,1,5,25,1,5,24,1
White women+,12,2,0,12,2,0,12,2,0,12,2,0,12,2,0,12,2,0,12,2,0,12,2,0,12,2,0
White men+,9,14,0,9,13,0,9,14,0,9,14,0,9,14,0,9,14,0,9,14,0,10,14,1,10,12,1
White women+,2,20,0,2,17,0,2,20,0,2,20,0,2,20,0,2,20,0,2,19,1,2,20,0,2,20,0
White women+,7,14,0,7,15,0,7,13,0,7,15,0,7,14,0,7,14,0,7,14,0,7,16,0,7,15,1
White women+,5,24,0,5,25,0,5,24,0,5,21,0,5,24,0,5,24,0,5,24,0,5,26,1,5,25,1
White women+,9,15,0,9,15,0,9,15,0,9,15,0,9,15,0,9,15,0,9,16,0,9,14,0,9,12,0
White women+,6,22,0,6,24,0,6,22,0,6,26,0,6,22,0,6,22,0,6,23,1,7,17,1,6,21,1
White women+,6,23,0,6,25,0,6,23,0,6,27,0,6,23,0,6,23,0,6,24,0,6,19,0,6,22,0
Black men,4,3,0,4,3,0,4,3,0,4,2,0,4,4,1,7,7,1,4,2,1,4,4,1,4,3,1
White women+,8,9,0,8,9,0,8,10,0,8,9,0,8,9,0,8,9,0,8,9,0,8,12,1,8,9,1
White women+,12,3,0,12,3,0,12,3,0,12,3,0,12,3,0,12,3,0,12,3,0,12,3,0,12,3,0
White women+,2,21,0,2,18,0,2,21,0,2,21,0,2,21,0,2,21,0,2,20,0,2,21,0,2,21,0
White women+,10,7,0,10,7,0,10,7,0,10,7,0,10,7,0,10,7,0,10,7,1,10,8,0,10,9,0
White men+,7,18,0,7,19,0,7,18,0,7,17,0,7,18,0,7,18,0,7,17,0,7,22,0,7,20,0
White men+,4,12,0,4,9,0,4,12,0,4,12,0,4,12,0,4,12,0,4,10,1,4,7,1,4,12,1
White men+,10,13,0,10,13,0,10,12,0,10,13,0,10,13,0,10,13,0,10,14,0,10,15,1,10,13,1
White men+,11,7,0,11,8,0,11,6,0,11,7,0,11,7,0,11,7,0,11,8,0,12,8,1,12,7,1
White women+,10,8,0,10,8,0,10,8,0,10,8,0,10,8,0,10,8,0,10,8,0,10,9,0,10,10,0
White men+,15,12,0,15,12,0,15,11,0,15,12,0,15,12,0,15,12,0,15,12,0,15,12,0,15,12,0
White women+,4,22,0,4,23,0,4,21,0,4,20,0,4,22,0,4,22,0,4,20,1,4,21,0,4,21,1
White women+,16,4,0,16,4,0,16,4,0,16,4,0,16,4,0,16,4,0,16,4,0,16,4,0,16,5,0
White men+,16,1,0,16,1,0,16,2,0,16,1,0,16,1,0,16,1,0,16,1,1,16,1,0,16,1,0
White men+,9,15,0,9,14,0,9,15,0,9,15,0,9,15,0,9,15,0,9,15,0,9,16,0,9,15,1
